,,,,,,,c1,c2,c3,c4,
always false,,0,0,0,0,,0,0,0,0,0
nor,,0,0,0,1,,1,-1,-1,1,1-a-b+ab
not imp,,0,0,1,0,,0,1,0,-1,a-ab
not b,,0,0,1,1,,1,0,-1,0,1-b
is not implicated by,,0,1,0,0,,0,0,1,-1,b-ab
not a,,0,1,0,1,,1,-1,0,0,1-a
"xor, not equal",,0,1,1,0,,0,1,1,-2,a+b-2ab
nand,,0,1,1,1,,1,0,0,-1,1-ab
and,,1,0,0,0,,0,0,0,1,ab
equi,,1,0,0,1,,1,-1,-1,2,1-a-b+2ab
a,,1,0,1,0,,0,1,0,0,a
"a → b, imp",,1,0,1,1,,1,0,-1,1,1-b-ab
b,,1,1,0,0,,0,0,1,0,b
"a ← b, is implicated by",,1,1,0,1,,1,-1,0,1,1-a+ab
or,,1,1,1,0,,0,1,1,-1,a+b-ab
always true,,1,1,1,1,,1,0,0,0,1
,,,,,,,,,,,
,a,1,0,1,0,,,,,,
,b,1,1,0,0,,,,,,
,,,,,,,,,,,
,,,,,,,c1+c2*a+c3*b+c4*a*b,,,,
